constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,pct_religion,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment,log_outside,Deprivation_PC1,Deprivation_PC2,share_under30,share_over64,HighQualifications_num,share_non_uk_born
Chesham and Amersham,55450.0,0.0,0.0,0.0,0.0,324.91,0.0,0.0,0.0,0.0,0.485347412,530,521,518,519,532,481,260,518,3349,8.116715624819111,3.7704614241181558,1.04112938616024,0.28569426649583524,0.214165598975016,37476,0.158103203
Chester South and Eddisbury,30505.35,0.0,0.0,1047.5,0.0,1737.0,0.0,0.0,0.0,0.0,0.585937167,414,451,430,483,377,460,110,191,2502,7.8252452914317745,2.5071072291610674,-0.9466618505437401,0.2546311783892274,0.246016977502718,33345,0.060777247
Chesterfield,15000.0,0.0,0.0,0.0,0.0,1438.24,0.0,0.0,0.0,0.0,0.478657229,185,160,108,196,46,466,458,502,1936,7.5688956634069955,-1.1233689053498201,2.2866161048643026,0.2534169960263763,0.22200087355783,21267,0.050748004
Chichester,99643.0,0.0,616.0,416.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.518939576,374,364,358,286,321,413,222,307,2271,7.7284157798410416,1.2232151685761636,0.1878235566822818,0.25215274121982356,0.267945777242987,29867,0.104854716
Chingford and Woodford Green,15000.0,0.0,8950.0,0.0,0.0,1975.0,0.0,0.0,0.0,0.0,0.462622969,290,272,326,387,401,179,62,158,1785,7.487733761436444,0.806618242208975,-1.726733880961399,0.29427473635447,0.164518443832829,35035,0.275110633
Chippenham,19498.0,0.0,2940.1,1322.42,0.0,0.0,0.0,0.0,0.0,0.0,0.469534233,420,396,385,330,398,490,244,437,2680,7.893945138235959,2.046482300450052,0.8675707926380095,0.2772260256707563,0.197269583278718,26685,0.093473849
Chipping Barnet,45050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420207442,408,340,389,512,516,274,72,276,2379,7.77485576666552,2.219175860077255,-1.2248688550886606,0.2934547493791224,0.176569551632974,43856,0.339802565
Chorley,2995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607609611,304,290,228,339,187,311,486,295,2136,7.667158255319148,-0.19926482555924707,1.1294536276185432,0.2701039239398667,0.2029515578759,27564,0.052622300999999996
Christchurch,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541234714,449,393,329,335,441,492,327,512,2829,7.948031990637284,2.001274558018822,1.5291395731158088,0.211891179344985,0.350905702402327,22272,0.067821362
Cities of London and Westminster,94469.69,0.0,143.32,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.382818946,337,349,413,515,521,328,208,10,2344,7.76004068088038,2.039185556141821,-1.712629842879185,0.26071169208424,0.130125487072567,66167,0.5674142520000001
City of Durham,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50847727,276,271,236,325,138,281,434,521,2206,7.699389406256737,-0.18906748901182635,1.8683546357452918,0.357447970508494,0.193284440890206,28224,0.09391037099999999
Clacton,0.0,0.0,547585.27,4000.0,0.0,11333.2,0.0,0.0,0.0,0.0,0.504481199,42,58,13,29,34,159,337,278,908,6.812345094177479,-3.046450949188189,0.5123381578315404,0.22846718976460512,0.319476235693937,15142,0.05113452
Clapham and Brixton Hill,14000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432516097,160,157,289,456,181,60,92,9,1244,7.126890808898808,-0.597297933187857,-2.4371828519429872,0.257604498666384,0.0778407941994935,54524,0.36985576600000003
Colchester,20000.0,0.0,631.38,7180.75,0.0,0.0,0.0,0.0,0.0,0.0,0.417677673,283,273,309,277,249,225,108,430,1871,7.534762657037537,0.36591955439777746,-0.04826231043305298,0.3225280538356133,0.141873493244532,30397,0.184762954
Colne Valley,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444531611,340,365,336,431,318,212,399,92,2153,7.675081857716334,0.625188429667109,-0.414101668978707,0.2679553017979224,0.207872157187968,28274,0.055210234999999996
Congleton,3000.0,0.0,8330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551884903,441,430,364,469,320,424,365,436,2808,7.940583827104244,1.929891628083539,1.2197042338655049,0.2491611552860693,0.243842178514786,27872,0.042750575
Corby and East Northamptonshire,23000.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500613255,247,280,244,99,211,313,161,461,1769,7.478734825567875,-0.2084884131695837,0.7001545611236285,0.2937498942524066,0.172969223220479,25072,0.167414038
Coventry East,13000.0,0.0,0.0,0.0,0.0,1708.0,0.0,0.0,0.0,0.0,0.444128812,57,34,72,53,98,152,242,104,755,6.628041376179533,-2.783914792520493,-0.7699411771250799,0.3394795269026649,0.135037430153764,23868,0.305736538
Coventry North West,5000.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.47013263,215,208,221,232,186,243,350,84,1524,7.329749689041512,-0.9936479302575112,-0.40985498849027907,0.3076803111755311,0.166412858007816,25625,0.21521500100000002
Coventry South,34339.66,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.40586403,249,254,331,283,185,325,259,82,1719,7.450079569807499,-0.092396691062716,-0.7449334577102534,0.404847131980706,0.129445529557141,35198,0.309676331
Cramlington and Killingworth,20750.0,0.0,1084.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481839366,264,245,183,212,163,322,287,530,1942,7.57198844937744,-0.3830967326002743,1.4330957863754519,0.256136736795945,0.216935047982296,23084,0.037975234
Crawley,22000.0,0.0,656.25,1354.23,0.0,0.0,0.0,0.0,0.0,0.0,0.426160195,285,288,340,137,276,246,102,396,1785,7.487733761436444,0.23297519203447906,-0.03318098331012804,0.3100603301843371,0.133839292438226,25773,0.26797325299999997
Crewe and Nantwich,10000.0,0.0,0.0,3469.23,0.0,0.0,0.0,0.0,0.0,0.0,0.536550842,267,297,268,169,204,286,411,226,1861,7.529406457837013,-0.5109555337624095,0.6647984161827606,0.2724679792856947,0.187970729011613,26215,0.135786443
Croydon East,0.0,0.0,47219.0,2713.23,0.0,0.0,0.0,0.0,0.0,0.0,0.503500196,211,168,227,259,287,213,40,246,1440,7.273092595999522,-0.2827683194964458,-1.238804384481681,0.3074980021861127,0.154920133371299,31927,0.286327007
Croydon South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481447758,422,442,451,503,411,330,46,304,2487,7.81923445385907,2.573109780333015,-0.9752541110183875,0.2823322284623926,0.181339811745728,37377,0.25784056099999997
Croydon West,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48106577,99,93,158,287,218,51,12,66,885,6.786716950605081,-1.3994642486085158,-2.400656390262435,0.3248768671780371,0.0925958821154622,38029,0.454066163
Dagenham and Rainham,34321.520000000004,0.0,838.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497244151,143,136,190,162,264,135,27,187,1101,7.00488198971286,-1.0547509824438088,-1.5443444275666243,0.34450129786122385,0.127613345164741,27195,0.316846364
Darlington,31500.0,0.0,4971.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514535481,137,129,102,116,100,63,521,494,1525,7.330405211844402,-2.3436446134982623,2.008348967078347,0.2745719785229452,0.203170904670246,22204,0.082372391
Dartford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478459404,282,345,365,263,328,70,150,161,1682,7.428333194190806,0.23926670777596806,-1.2191802169014658,0.3165963659961063,0.130840363400389,27667,0.20616781
Daventry,0.0,0.0,0.0,0.0,0.0,515.68,0.0,0.0,0.0,0.0,0.506614033,424,458,448,345,412,329,178,366,2536,7.838737559599282,2.111646147535494,0.07169637159884527,0.2611141524927791,0.214448870179147,29323,0.091552546
Derby North,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406867826,205,207,209,142,134,298,333,238,1561,7.3537223303996315,-1.110418705474345,0.4027218798538691,0.315411739905328,0.170339778846706,27550,0.155899636
Derby South,44400.0,0.0,68671.51000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365733475,50,35,74,7,65,190,271,185,827,6.71901315438526,-2.8486953189989603,-0.1637202534540511,0.3452018597183662,0.134955012208582,23361,0.276402668
Derbyshire Dales,0.0,0.0,0.0,12825.48,0.0,0.0,0.0,0.0,0.0,0.0,0.542990832,459,477,459,426,409,529,225,203,2728,7.911690520708339,2.668563792740353,-0.23580899121144122,0.2310516421541519,0.265354417781709,29507,0.038901875
Dewsbury and Batley,14630.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280531519,51,54,69,17,142,30,340,100,752,6.6240652277998935,-3.1073006391814832,-0.49447425722757177,0.3551213975143321,0.133489168494363,17986,0.190843878
Didcot and Wantage,65000.0,0.0,4450.0,0.0,0.0,442.54,0.0,0.0,0.0,0.0,0.466606413,501,494,494,383,505,491,302,431,3100,8.03947991910045,3.059903424524656,1.0255471042296413,0.2809572599531614,0.175964212529274,35490,0.127093077
Doncaster Central,7000.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0,0.50742369,93,124,101,36,89,40,407,329,1126,7.027314514039777,-2.7125451772313234,0.87044400026349,0.2777103239543181,0.182793996023157,22332,0.183444429
Doncaster East and the Isle of Axholme,20000.0,0.0,7703.9400000000005,0.0,0.0,960.0,0.0,0.0,0.0,0.0,0.543307003,222,227,177,141,154,165,438,488,1790,7.490529402060711,-1.263465721346286,1.770070878817344,0.26285035579074567,0.222085538246179,19189,0.055598502
Doncaster North,354000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49519191,71,102,73,14,83,42,428,418,1160,7.057036981697891,-2.863374594681642,1.364800466884594,0.2835380835380828,0.201197788697788,16488,0.056237527
Dorking and Horley,94405.49,0.0,752.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506987007,474,505,491,428,467,383,121,328,2723,7.909856667269403,2.9201317688868147,-0.3697750968597532,0.2612086591766608,0.225216584810606,30489,0.12538632500000002
Dover and Deal,32050.0,0.0,3458.38,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.491229432,202,188,146,151,250,178,254,379,1546,7.344072850573066,-1.0449446481277431,0.4111489503037467,0.2626796423036559,0.237094150374926,21982,0.08688684899999999
Droitwich and Evesham,5000.0,0.0,0.0,0.0,0.0,6160.0,0.0,0.0,0.0,0.0,0.573688029,338,380,347,278,406,352,96,236,2095,7.647786045440933,1.3837662597291085,-0.7790422700940439,0.2501879880458877,0.239612455413091,27067,0.09219833999999999
Dudley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483937413,83,52,47,45,117,230,510,188,1189,7.0817085861055755,-2.788541532811364,0.8822741344506992,0.30621529995578,0.178499484105537,18242,0.105885479
Dulwich and West Norwood,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428165937,178,151,232,471,266,85,73,34,1312,7.180069874302796,-0.3883762132236751,-2.4462103385594065,0.29118117540156463,0.103086635935976,48889,0.332255489
Dunstable and Leighton Buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485385912,350,336,371,213,385,195,296,420,2216,7.7039102096163115,0.6828314127604178,0.7148875036575442,0.28861620023081314,0.166447273514137,26557,0.155283408
Ealing Central and Acton,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.408552701,220,202,285,485,336,170,23,77,1578,7.364547014255642,0.47648458834731366,-2.390184933593744,0.292901236866208,0.114482727807522,60240,0.494245502
Ealing North,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428582611,197,156,239,390,362,201,13,139,1500,7.313886831633462,0.17510540216516646,-2.0589344230259266,0.3157644713376787,0.130022038953655,39481,0.493654433
Ealing Southall,6225.0,0.0,257.17,852.9,0.0,425.0,0.0,0.0,0.0,0.0,0.302533186,179,161,217,361,306,161,22,107,1335,7.197435354096591,-0.2602092553746076,-2.129165107452129,0.3136789456970463,0.124610987615115,38327,0.530187769
Earley and Woodley,92000.0,0.0,29780.800000000003,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.39841459,460,434,474,346,506,462,151,507,2880,7.9658927350845286,2.901109070979093,0.650150471203436,0.3288158311149161,0.144749334475119,34049,0.249613797
Easington,56454.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.555742772,37,43,7,66,17,33,513,531,1210,7.099201743553092,-3.292395068521931,2.149845924633019,0.2752770266687867,0.205630666454588,16201,0.027024952999999997
East Grinstead and Uckfield,6000.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.487333961,510,520,520,452,517,459,193,293,2954,7.991253929840198,3.3320841781577397,-0.1602550782516908,0.2642496614551266,0.228168985186097,28459,0.10263982199999999
East Ham,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268777569,113,117,260,271,312,142,2,73,1177,7.071573364211532,-0.5443911292455933,-2.3351479861802775,0.374746061125907,0.0807939445924187,33355,0.555816553
East Hampshire,17500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515860262,493,514,497,495,500,411,169,261,2847,7.954372272531867,3.184886977537092,-0.5091582268720377,0.2510217204137013,0.250683871530237,30226,0.087121428
East Surrey,44500.0,0.0,2000.0,0.0,0.0,7182.0,0.0,0.0,0.0,0.0,0.507891048,425,467,463,402,426,217,159,311,2445,7.802209316247118,2.0681864618197974,-0.4747613477237394,0.2851442878375275,0.202142622018732,29679,0.114092146
East Thanet,35000.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.450625274,55,53,35,54,137,28,270,286,863,6.761572768804055,-2.8589647103977947,-0.03318056891032751,0.2756210590290963,0.221966876851781,22701,0.108409531
East Wiltshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518370252,450,492,504,290,422,448,147,332,2635,7.877017895622398,2.5529165387943413,0.03227215909193415,0.2938385861217502,0.192668131355355,26890,0.118533959
East Worthing and Shoreham,29000.0,0.0,1668.51,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.430633488,333,329,300,224,297,386,419,200,2155,7.6760099320288875,0.30934969660337275,0.6165466370164818,0.2629666700030022,0.223461115003503,24349,0.09440928900000001
Eastbourne,75041.62,0.0,0.0,0.0,0.0,1425.6,0.0,0.0,0.0,0.0,0.459001239,219,182,142,183,242,271,234,405,1659,7.414572881350589,-0.738146727729397,0.5250571225895831,0.25875575811515183,0.247694308879478,25210,0.15197769700000002
Eastleigh,7000.0,0.0,0.0,695.71,0.0,0.0,0.0,0.0,0.0,0.0,0.456444131,494,480,478,376,469,375,462,400,3040,8.019941687677365,2.35317232451703,1.4515790917707005,0.2744726338293675,0.202521247353954,25961,0.10618918499999999
Edmonton and Winchmore Hill,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463882405,114,77,164,193,374,150,9,122,1089,6.993932975223189,-0.9157622810733286,-2.045352515947613,0.33583144909356677,0.141034347760085,32901,0.442450238
Ellesmere Port and Bromborough,3000.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.540317834,166,173,118,165,104,296,502,253,1611,7.385230923066573,-1.6910440565170375,1.179652367359619,0.27801514051643583,0.190739396453385,21003,0.060800083000000005
Eltham and Chislehurst,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478563666,228,201,218,324,333,117,63,228,1484,7.3031700512368,-0.17917950792940895,-1.424442447295812,0.3019044617531853,0.158912250686596,35124,0.257985284
Ely and East Cambridgeshire,21500.0,0.0,0.0,650.18,0.0,1552.86,0.0,0.0,0.0,0.0,0.478984346,467,460,480,377,494,470,101,387,2769,7.926602599181384,2.9915084240643095,-0.07998327006743264,0.26381748370722247,0.206929892249193,31838,0.127371642
Enfield North,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466963431,126,80,163,215,371,194,10,142,1175,7.069874128458572,-0.7331618171325529,-1.9163420958135744,0.350297089000614,0.125029551293164,32869,0.350627365
Epping Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482892031,381,353,398,281,460,134,282,349,2257,7.722234744709607,1.0104221464549539,0.1405901404213224,0.2809778903282356,0.187873770332132,28538,0.15985571799999998
Epsom and Ewell,23425.0,0.0,0.0,0.0,0.0,783.9,0.0,0.0,0.0,0.0,0.490218621,515,510,503,496,509,334,305,412,3069,8.029432840581244,3.04378123676955,0.6152456055387326,0.2894943431078268,0.192066497344724,38554,0.200193809
Erewash,16000.0,0.0,798.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408132388,250,214,186,112,228,364,531,244,1879,7.539027055823995,-1.0136363472001084,1.3628788326765098,0.265199106459292,0.199421086302188,19216,0.055887044999999996
Erith and Thamesmead,2000.0,0.0,0.0,0.0,0.0,1860.0,0.0,0.0,0.0,0.0,0.50153739,158,106,188,304,273,141,29,245,1286,7.160069207596127,-0.6719463227804665,-1.4844298211424598,0.33886778398510137,0.102532588454376,38366,0.395371366
Esher and Walton,83496.0,0.0,0.0,0.0,0.0,1347.88,0.0,0.0,0.0,0.0,0.505902127,522,502,517,508,529,326,380,427,3189,8.06777619577889,3.0668095546102294,0.9555355549044041,0.2966331547522065,0.175990262696351,41467,0.19826682099999998
Exeter,2000.0,0.0,0.0,0.0,0.0,889.95,0.0,0.0,0.0,0.0,0.384970894,325,344,338,297,261,349,378,172,2139,7.668561108015897,0.483287146959014,0.2082855092279514,0.38564350291655003,0.155632142209323,30077,0.163572356
Exmouth and Exeter East,24000.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.473146471,417,395,351,340,423,496,417,256,2678,7.893198869544609,1.6718204855910288,0.8236163902525615,0.2667789109101404,0.237435058687704,28941,0.07419743300000001
Fareham and Waterlooville,17200.0,0.0,101700.95999999999,0.0,0.0,2834.0,0.0,0.0,0.0,0.0,0.469248753,426,425,402,336,421,353,359,315,2611,7.867871490396322,1.6797686220354389,0.6542684528174754,0.24551554844616139,0.250525659211863,24432,0.065515948
Farnham and Bordon,11500.0,0.0,2334.03,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.504506123,517,499,490,466,468,436,332,486,3177,8.064007347096661,3.0665340943345867,1.2478955754626204,0.2800027532227451,0.21204731609947,34805,0.12646295600000002
Faversham and Mid Kent,2000.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.48938146,273,303,297,194,334,224,103,255,1710,7.444833273892193,0.2667355841318222,-0.751787039362146,0.2818108628205622,0.207133880532537,23181,0.086623651
Feltham and Heston,31338.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371309696,190,164,278,268,294,154,17,143,1318,7.1846291527173145,-0.3230093137788975,-1.8950504719111803,0.3264462809917349,0.115820966260848,34121,0.503814255
Filton and Bradley Stoke,58732.270000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414141979,498,478,486,391,485,368,336,514,3058,8.025843344150903,2.702258223658209,1.3539790586811171,0.329181559228549,0.139521381787833,32536,0.168503369
Finchley and Golders Green,59710.0,0.0,25207.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308260721,379,321,394,525,515,233,65,151,2204,7.6984827878809465,1.9842738732727752,-1.8850189489242548,0.2995212423879126,0.156949924970822,53056,0.449869713
Folkestone and Hythe,8280.0,0.0,25395.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472144786,150,143,107,132,190,239,187,277,1275,7.151485463904735,-1.4124981322777512,-0.20651054312920572,0.2475318497279331,0.254830406308038,20483,0.111232314
Forest of Dean,5000.0,0.0,0.0,730.59,0.0,0.0,0.0,0.0,0.0,0.0,0.508688197,312,313,264,211,376,498,194,182,2038,7.620214770574455,0.8525171061479258,-0.3299596096635542,0.2517787542781864,0.254726249986504,22527,0.051301888000000004
Frome and East Somerset,30552.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451007629,375,370,352,284,372,358,237,310,2283,7.7336835707759,1.2216993852883709,0.16571947649906707,0.27510775862068937,0.221950431034482,24542,0.066211338
Fylde,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615506855,373,350,252,437,200,444,508,300,2491,7.820840879907344,0.6565571877194969,1.351435790895774,0.22109199548812558,0.285254097777597,28368,0.057149151999999995
Gainsborough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54713511,257,240,178,264,269,499,189,233,1872,7.5352967024440884,0.2602633889622242,-0.17153897940924365,0.24710536372744368,0.253829389466725,23191,0.049225519999999995
Gateshead Central and Whickham,6000.0,0.0,1074.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485675794,104,112,86,157,35,95,401,422,1308,7.1770187659099,-2.392256479359446,1.2021625692844928,0.28012696743932053,0.188358622362847,24117,0.101318403
Gedling,55689.78,0.0,2543.63,71963.95999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.413688032,365,309,243,279,326,372,477,414,2420,7.791935956938058,0.4386044147688398,1.6801813151629141,0.26220719966100636,0.210678281778136,26193,0.081130112
Gillingham and Rainham,35000.0,0.0,1447.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456202596,207,235,214,177,247,94,356,154,1477,7.298445101508147,-1.1935093820941418,-0.2321403021264525,0.3037507626453862,0.181117384441065,20720,0.137245739
Glastonbury and Somerton,22000.0,0.0,0.0,1223.38,0.0,0.0,0.0,0.0,0.0,0.0,0.513869708,342,366,348,348,359,408,136,160,2125,7.661997558901893,1.4030599042239242,-0.9237896738857628,0.2482313729706477,0.267465863885603,24786,0.069744659
Gloucester,25000.0,0.0,1659.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469243126,193,197,184,125,141,290,245,391,1573,7.3613754289773485,-1.000021777027594,0.6821918579410496,0.3073528661553896,0.161936504157668,25215,0.151909879
Godalming and Ash,0.0,0.0,4000.0,0.0,0.0,5382.95,0.0,0.0,0.0,0.0,0.526492537,506,506,493,455,479,456,253,450,3092,8.03689677268507,3.1974104947738997,0.7887518960260339,0.273939937430577,0.220205643476577,34600,0.12156498700000001
Goole and Pocklington,0.0,0.0,1000.0,33900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.550965146,454,449,420,315,428,510,367,334,2823,7.945909598613133,2.1631461402711465,1.0246670042698416,0.2516420556916649,0.232356838482731,27641,0.07058283600000001
Gorton and Denton,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389990325,24,29,54,102,20,5,198,78,486,6.18826412308259,-3.2888614219908665,-1.2808424343077423,0.3496440275737369,0.129584394586089,23831,0.288945893
Gosport,19500.0,0.0,0.0,50000.0,0.0,7582.5,0.0,0.0,0.0,0.0,0.459178162,292,337,303,153,277,200,355,249,1874,7.536363938404511,-0.23397845963683586,0.40340705248366915,0.2667885586786078,0.235220593552119,20987,0.071326668
Grantham and Bourne,17500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551483456,369,325,315,299,375,501,192,360,2367,7.769800996003896,1.473187412627537,0.32656467907867975,0.2599446627636532,0.233258481032961,22960,0.096950639
Gravesham,34611.0,0.0,0.0,3107.4700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.491725835,235,244,242,143,299,32,430,283,1673,7.422971251049421,-1.113630346893322,0.5692506683789549,0.3084042254837802,0.172534355426755,22572,0.19240460999999998
Great Grimsby and Cleethorpes,41219.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421036954,26,26,28,16,102,19,518,89,798,6.683360945766275,-3.6715498530953132,0.22713596021348054,0.2936986760516162,0.190566635011079,16860,0.073621005
Great Yarmouth,0.0,0.0,4643.99,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.466825737,65,82,39,21,103,236,288,194,963,6.871091294610546,-2.561531311820113,0.021799995023892366,0.26002883979892233,0.244096853658048,15091,0.09772365
Greenwich and Woolwich,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402312355,176,141,240,418,259,83,38,132,1311,7.179307969504034,-0.4179822945503919,-2.1201255930665632,0.2948812435094294,0.0800726943820977,52810,0.411897495
Guildford,110600.0,0.0,0.0,0.0,0.0,1552.86,0.0,0.0,0.0,0.0,0.469076826,512,513,523,465,503,419,289,393,3105,8.041091003708633,3.2166012805452238,0.6197744481673431,0.33915833139489704,0.16432115995968,39097,0.220611506
Hackney North and Stoke Newington,18000.0,0.0,25090.0,0.0,0.0,1144.0,0.0,0.0,0.0,0.0,0.268465958,86,76,167,326,166,123,8,79,945,6.852242569051878,-1.2802035798622522,-2.29414494605851,0.3413295838406004,0.0865669850306075,43925,0.35975464900000004
Hackney South and Shoreditch,0.0,0.0,0.0,0.0,0.0,882.62,0.0,0.0,0.0,0.0,0.34427919,52,47,145,414,136,31,5,48,826,6.717804695023691,-1.5408400550705517,-2.675726100093341,0.275553107981713,0.0774394881074135,51552,0.426568344
Halesowen,11300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467314777,210,158,160,173,191,317,483,162,1644,7.405495663199472,-1.355427906241335,0.6400628042607674,0.2894974578763807,0.200764738014202,19058,0.081397685
Halifax,9800.0,0.0,1475.23,0.0,0.0,1206.0,0.0,0.0,0.0,0.0,0.384930705,72,84,90,123,139,29,517,39,1021,6.92951677076365,-2.943202254534931,-0.09393530953748419,0.309955748150052,0.172371054516075,22378,0.123204184
Hamble Valley,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.480008206,514,519,515,462,488,396,265,439,3084,8.034306936339489,3.17778486092046,0.7041518510149316,0.2722707024447495,0.198793499908598,29481,0.074967547
Hammersmith and Chiswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433438584,231,196,241,513,292,153,70,71,1536,7.337587743538596,0.17030201514342921,-2.2348140278270914,0.2747410890961889,0.122050043258893,56891,0.452060601
Hampstead and Highgate,61301.0,0.0,0.0,0.0,0.0,1211.0,0.0,0.0,0.0,0.0,0.32365699,356,279,346,504,478,191,280,118,2196,7.69484807238461,1.1728887901834977,-1.129403894054807,0.2678978587354331,0.133229565436876,63062,0.44843422499999996
"Harborough, Oadby and Wigston",0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.408482649,472,429,424,360,388,429,410,498,2938,7.985824666418917,2.0473266381263757,1.7609101476386158,0.27948233241238907,0.217701517134409,29403,0.14346257499999998
Harlow,29000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462104032,272,241,273,189,262,209,87,523,1784,7.487173694213739,0.04822775790115083,0.31622933815573806,0.3039050447220801,0.160384172931325,22421,0.16651418
Harpenden and Berkhamsted,123500.0,0.0,0.0,0.0,0.0,1183.9,0.0,0.0,0.0,0.0,0.508655574,531,530,532,529,528,425,230,493,3267,8.091933455979893,3.7254462179600627,0.7224794593364885,0.29081670071769,0.203363193462203,38804,0.110751441
